Participant,Pretest.Type,Motivation.Score,Strategy.Score,Pretest.Score,Posttest.Score,Avg.PupilSize,text_1.Hit,text_1.Duration,text_2.Hit,text_2.Duration,text_3.Hit,text_3.Duration,text_4.Hit,text_4.Duration,text_5.Hit,text_5.Duration,text_6.Hit,text_6.Duration,text_7.Hit,text_7.Duration,table.Hit,table.Duration,membrane_top.Hit,membrane_top.Duration,membrane_bottom.Hit,membrane_bottom.Duration,membrane_left.Hit,membrane_left.Duration,membrane_right.Hit,membrane_right.Duration,k_1.Hit,k_1.Duration,k_2.Hit,k_2.Duration,k_3.Hit,k_3.Duration,k_4.Hit,k_4.Duration,k_5.Hit,k_5.Duration,k_6.Hit,k_6.Duration,k_7.Hit,k_7.Duration,formula_1.Hit,formula_1.Duration,formula_2.Hit,formula_2.Duration,formula_3.Hit,formula_3.Duration,cl_1.Hit,cl_1.Duration,cl_2.Hit,cl_2.Duration,cl_3.Hit,cl_3.Duration,channel_1.Hit,channel_1.Duration,channel_2.Hit,channel_2.Duration,channel_3.Hit,channel_3.Duration,channel_4.Hit,channel_4.Duration,channel_5.Hit,channel_5.Duration,graph_1.Hit,graph_1.Duration,graph_2.Hit,graph_2.Duration,K+ ions.Hit,K+ ions.Duration,electrical gradient.Hit,electrical gradient.Duration,Na channel.Hit,Na channel.Duration,chemical gradient.Hit,chemical gradient.Duration,Resting membrane potential.Hit,Resting membrane potential.Duration,Na-K Pump.Hit,Na-K Pump.Duration,k channel.Hit,k channel.Duration,cl channel.Hit,cl channel.Duration,Cl- ions.Hit,Cl- ions.Duration,permeability.Hit,permeability.Duration,axon.Hit,axon.Duration,na ions.Hit,na ions.Duration,neuron.Hit,neuron.Duration,diffusion.Hit,diffusion.Duration
Dufftown_2_1,S,26,29,0,5,18.69364548,30,11330,44,17947,32,13733,26,13101,49,10642,52,10041,0,0,27,5309,62,23856,51,10875,15,8620,22,6140,12,3622,19,5513,8,2149,19,8598,38,15582,17,4226,9,2150,125,34828,51,14019,139,31933,41,10106,7,1500,41,13696,115,29914,48,15691,8,2799,86,29068,9,5544,21,4089,73,17908,50,16339,61,14651,16,4344,135,41134,152,36157,74,20399,30,7228,5,966,15,3605,65,20079,12,2888,39,8103,87,25527,15,4717
Dufftown_2_2,T,35,32,0,7,13.08894281,5,1736,5,1103,5,3057,10,3349,12,2004,14,2563,0,0,0,0,33,13544,44,22833,24,8014,39,36266,0,0,3,978,17,5195,13,4924,13,6438,11,3737,1,127,58,17614,16,4660,18,5734,19,5837,4,619,26,7319,99,28002,13,3190,8,1936,23,5963,1,55,19,5831,8,1464,35,8880,37,12371,9,2905,40,11163,45,14886,12,2749,11,4637,1,87,4,942,44,11884,8,2816,24,9998,61,20441,1,187
Dufftown_3_1,T,36,38,0,3,13.53130554,0,0,31,19902,19,8736,12,5084,14,4567,15,4406,2,447,2,731,13,4649,42,17310,8,2994,22,7322,1,71,22,6429,19,5065,14,7558,24,12366,11,6143,3,960,58,20446,53,15551,131,40860,30,18516,0,0,42,15904,84,35736,13,9221,18,7443,46,27981,11,7903,17,3815,50,17849,27,13341,45,18583,10,4070,62,17947,32,9267,2,392,34,12368,22,10128,17,4810,17,6077,1,283,18,12283,1,267,3,969
Dufftown_3_2,T,34,32,0,2,11.44715648,1,815,39,10530,41,10363,18,6044,19,7137,13,6548,1,140,10,2640,20,13242,53,21969,12,6640,33,22859,3,448,8,3723,21,8857,8,3640,21,9358,17,4854,11,4116,96,42185,29,10946,81,30402,13,4820,1,191,56,25082,79,29466,16,6106,2,335,36,15213,5,1789,23,6336,66,21358,35,9802,91,32057,18,3500,31,8857,50,11290,8,944,60,17320,63,16935,17,5075,27,8638,7,540,36,11470,4,297,1,80
Edradour_1_1,S,31,35,0,1,15.38018397,4,969,48,16338,24,8748,10,1470,22,6482,17,5794,1,156,3,645,37,18061,66,16216,38,9616,59,18720,4,1482,15,5817,24,5355,18,4832,44,17039,4,842,7,1614,108,30559,74,25308,99,25992,25,6538,3,791,56,13617,136,38720,43,14044,25,8873,41,9220,18,6054,22,5448,36,13488,86,18592,144,26644,197,43957,87,23243,56,14174,105,23187,231,50276,125,28474,56,13120,331,74149,1,140,69,18569,1,387,12,2854
Edradour_1_2,T,26,33,0,4,13.53283098,10,3973,20,6936,6,1980,19,5089,12,6432,15,4455,1,431,3,738,41,17053,55,24610,18,7189,94,44455,0,0,4,5143,12,4909,13,5098,35,10403,13,3637,3,721,126,43052,74,26085,105,36472,18,5699,1,636,33,9528,134,41107,10,3968,13,5452,41,15101,13,5844,51,19703,60,23703,62,27218,114,52920,106,37385,62,23753,91,27509,45,18126,146,67195,61,28328,33,11177,143,60041,2,1515,73,29572,4,1969,8,3455
Edradour_2_1,T,43,42,0,7,14.84803044,0,0,18,6029,4,526,26,4660,26,10243,0,0,0,0,21,7152,20,6207,101,28669,24,13859,60,13922,8,3222,12,4470,35,8559,11,2726,25,5717,5,730,0,0,159,43829,46,14145,158,44619,37,11614,2,437,33,8192,161,47014,14,4702,16,3082,44,8173,4,1027,4,914,3,235,74,34164,32,9107,42,12707,20,5568,7,983,14,3087,96,29229,17,6404,0,0,56,17231,2,718,2,243,12,2045,3,559
Edradour_2_2,S,27,28,0,2,14.48288136,8,682,56,7947,24,2698,72,14192,7,5745,14,7363,4,603,1,323,59,7080,113,28057,57,13425,35,9429,3,277,53,11085,37,7477,32,5708,49,7185,26,4242,7,928,106,13733,50,8318,104,22433,137,41246,0,0,57,9015,132,30470,106,19295,4,1830,118,27654,15,1620,50,10646,39,12500,45,14027,26,4128,34,6895,44,8664,78,17000,32,5572,29,5087,4,519,7,1727,43,7952,13,2994,18,2662,23,4329,17,4713
Fettercairn_1_1,S,28,27,1,4,17.80033631,3,676,11,3217,33,4712,36,6597,13,4622,8,2971,0,0,0,0,24,15211,106,32764,15,6837,30,15351,1,136,3,485,11,3645,2,160,7,2154,3,857,0,0,65,16802,27,5142,261,63556,12,2558,2,110,10,1766,60,16781,14,3405,10,3760,12,2554,0,0,13,2328,14,3447,24,7033,2,320,45,8111,48,13693,8,4679,36,9136,27,6405,51,8774,122,27834,56,13407,2,354,55,13769,0,0,21,3809
Fettercairn_1_2,S,29,35,4,5,15.78622648,0,0,5,559,6,735,51,5933,7,912,10,869,0,0,9,1200,28,4483,62,7188,31,4375,56,8110,3,215,10,1672,10,903,7,842,7,727,18,1891,14,1384,61,8720,14,1437,9,945,11,1237,1,92,19,1677,64,7627,6,610,9,1150,23,2305,1,176,7,702,3,290,43,6141,46,7631,82,13245,123,19506,40,6381,38,6858,42,6599,20,3228,83,12374,80,12601,3,470,85,12552,9,1345,34,6306
